codigo_viagem;cnpj;numero_equipamento_fiscal;numero_bilhete;data_emissao_bilhete;hora_emissao_bilhete;categoria_transporte;nu_linha;origem_destino_linha;ponto_origem_viagem;ponto_destino_viagem;tipo_servico;data_viagem;hora_viagem;tipo_viagem;numero_poltrona;plataforma_embarque;tipo_gratitude;valor_tarifa;valor_percentual_desconto;valor_aliquota_icms;valor_pedagio;valor_taxa_embarque;valor_total;origem_emissao;in_passagem_cancelada
2271493;60765633000112;35191160765633000112;158445;2019/11/21;23:41:00;Interestadual;8002831;SAO PAULO(SP) - RIO DE JANEIRO(RJ);SAO PAULO/SP        ;RIO DE JANEIRO/RJ        ;Semileito;2019/11/21;23:55:00;Regular;33;09;Tarifa Normal - sem desconto;161.79;0.0;12.0;7.26;6.39;123.89;Não Se Aplica;NÃO
2260433;60765633000112;35191160765633000112;151911;2019/11/14;13:29:00;Interestadual;8002831;SAO PAULO(SP) - RIO DE JANEIRO(RJ);SAO PAULO/SP        ;RIO DE JANEIRO/RJ        ;Semileito;2019/11/14;14:00:00;Regular;6;05;Tarifa Normal - sem desconto;161.79;0.0;12.0;7.26;6.39;129.9;Não Se Aplica;NÃO
2260452;60765633000112;35191160765633000112;151445;2019/11/14;01:52:00;Interestadual;8002861;SAO PAULO(SP) - RIO DE JANEIRO(RJ);SAO PAULO/SP        ;RIO DE JANEIRO/RJ        ;Executivo;2019/11/14;20:05:00;Regular;2;05;Tarifa Normal - sem desconto;146.44;0.0;12.0;6.98;6.39;128.9;Não Se Aplica;NÃO
2271379;60765633000112;35191160765633000112;156949;2019/11/19;23:22:00;Interestadual;8002831;SAO PAULO(SP) - RIO DE JANEIRO(RJ);SAO PAULO/SP        ;RIO DE JANEIRO/RJ        ;Semileito;2019/11/19;23:55:00;Regular;7;09;Tarifa Normal - sem desconto;161.79;0.0;12.0;7.26;6.39;123.89;Não Se Aplica;NÃO
2308681;60765633000112;35191160765633000112;160835;2019/11/25;00:06:00;Interestadual;8002861;SAO PAULO(SP) - RIO DE JANEIRO(RJ);SAO PAULO/SP        ;RIO DE JANEIRO/RJ        ;Executivo;2019/11/25;00:26:00;Regular;28;09;Tarifa Normal - sem desconto;146.44;0.0;12.0;6.98;6.39;113.89;Não Se Aplica;NÃO
2271495;60765633000112;35191160765633000112;158445;2019/11/21;23:41:00;Interestadual;8002831;SAO PAULO(SP) - RIO DE JANEIRO(RJ);SAO PAULO/SP        ;RIO DE JANEIRO/RJ        ;Semileito;2019/11/21;23:55:00;Regular;33;09;Tarifa Normal - sem desconto;161.79;0.0;12.0;7.26;6.39;123.89;Não Se Aplica;NÃO
2210511;60765633000112;35191160765633000112;140778;2019/11/03;23:04:00;Interestadual;8002861;SAO PAULO(SP) - RIO DE JANEIRO(RJ);SAO PAULO/SP        ;RIO DE JANEIRO/RJ        ;Executivo;2019/11/03;23:15:00;Regular;39;03;Tarifa Normal - sem desconto;146.44;0.0;12.0;6.98;6.39;114.9;Não Se Aplica;NÃO
2231729;60765633000112;35191160765633000112;143337;2019/11/06;23:58:00;Interestadual;8002831;SAO PAULO(SP) - RIO DE JANEIRO(RJ);SAO PAULO/SP        ;RIO DE JANEIRO/RJ        ;Semileito;2019/11/09;00:05:00;Regular;4;03;Tarifa Normal - sem desconto;161.79;0.0;12.0;7.26;6.39;123.89;Não Se Aplica;NÃO
2210472;60765633000112;35191160765633000112;139692;2019/11/02;08:51:00;Interestadual;8002831;SAO PAULO(SP) - RIO DE JANEIRO(RJ);SAO PAULO/SP        ;RIO DE JANEIRO/RJ        ;Semileito;2019/11/03;14:00:00;Regular;20;05;Tarifa Normal - sem desconto;161.79;0.0;12.0;7.26;6.39;123.89;Não Se Aplica;NÃO
2309009;60765633000112;35191160765633000112;161438;2019/11/25;16:34:00;Interestadual;8002831;SAO PAULO(SP) - RIO DE JANEIRO(RJ);SAO PAULO/SP        ;RIO DE JANEIRO/RJ        ;Semileito;2019/11/30;00:40:00;Regular;17;05;Tarifa Normal - sem desconto;161.79;0.0;12.0;7.26;6.39;49.0;Não Se Aplica;NÃO
2308705;60765633000112;35191160765633000112;156804;2019/11/19;19:56:00;Interestadual;8002831;SAO PAULO(SP) - RIO DE JANEIRO(RJ);SAO PAULO/SP        ;RIO DE JANEIRO/RJ        ;Semileito;2019/11/25;12:00:00;Regular;17;05;Tarifa Normal - sem desconto;161.79;0.0;12.0;7.26;6.39;123.89;Não Se Aplica;NÃO
2260448;60765633000112;35191160765633000112;149165;2019/11/12;12:18:00;Interestadual;8002861;SAO PAULO(SP) - RIO DE JANEIRO(RJ);SAO PAULO/SP        ;RIO DE JANEIRO/RJ        ;Executivo;2019/11/14;18:35:00;Regular;15;03;Tarifa Normal - sem desconto;146.44;0.0;12.0;6.98;6.39;128.9;Não Se Aplica;NÃO
2231858;60765633000112;35191160765633000112;147153;2019/11/10;14:18:00;Interestadual;8002831;SAO PAULO(SP) - RIO DE JANEIRO(RJ);SAO PAULO/SP        ;RIO DE JANEIRO/RJ        ;Semileito;2019/11/10;23:05:00;Regular;5;N/I;Tarifa Normal - sem desconto;161.49;0.0;12.0;6.98;0.0;59.0;Não Se Aplica;NÃO
2308884;60765633000112;35191160765633000112;161819;2019/11/25;22:36:00;Interestadual;8002831;SAO PAULO(SP) - RIO DE JANEIRO(RJ);SAO PAULO/SP        ;RIO DE JANEIRO/RJ        ;Semileito;2019/11/28;12:00:00;Regular;22;05;Tarifa Normal - sem desconto;161.79;0.0;12.0;7.26;6.39;49.0;Não Se Aplica;NÃO
2308882;60765633000112;35191160765633000112;161819;2019/11/25;22:36:00;Interestadual;8002831;SAO PAULO(SP) - RIO DE JANEIRO(RJ);SAO PAULO/SP        ;RIO DE JANEIRO/RJ        ;Semileito;2019/11/28;12:00:00;Regular;22;05;Tarifa Normal - sem desconto;161.79;0.0;12.0;7.26;6.39;49.0;Não Se Aplica;NÃO
2308991;60765633000112;35191160765633000112;165796;2019/11/29;17:58:00;Interestadual;8002861;SAO PAULO(SP) - RIO DE JANEIRO(RJ);SAO PAULO/SP        ;RIO DE JANEIRO/RJ        ;Executivo;2019/11/29;23:15:00;Regular;7;03;Tarifa Normal - sem desconto;146.44;0.0;12.0;6.98;6.39;113.89;Não Se Aplica;NÃO
